id,address,lease
HP431696,"One stop
Compton Square
Cricketers way
Andover",Leasehold
HP442129,Premises in Factory Road,Leasehold
HP444551,"land on the east side of Bar End Road
Winchester",Freehold
HP457660,"183/191
(odd) Albert Road
Southsea",Freehold
HP473809,"Tesco Stores Ltd
Clement Attlee Way
Portsmouth
PO6 4SR",Freehold
HP481573,"Tesco Store
Sizer Way
Dibden
Southampton
SO45 5JA",Freehold
HP491614,"Tesco Superstore
Tebourba Way
Southampton
SO16 4QE",Freehold
HP494214,"land at Nursling Industrial Estate
Weston Lane",Freehold
HP497569,"land on the South Side of Easton Lane
Winnall",Freehold
HP505730,"Tesco Store
The Causeway
Petersfield
GU31 4JR",Freehold
HP507931,"Tesco Store
Station Road
Hook
RG27 9JE",Freehold
HP516428,"land lying to the west of the M271
Nursling",Leasehold
HP525555,"Tesco Stores Ltd
Crasswell Street
Portsmouth
PO1 1RS",Freehold
HP544104,"land on the east side of Quay Street
Fareham",Freehold
HP564277,"land at Willems Park
Wellington Avenue
Aldershot",Freehold
HP568672,"land at River Way
Andover
SP10 1DX",Freehold
HP595703,"12-18
Cobden Avenue
Southampton
SO18 1FX",Freehold
HP600025,"Tesco Stores
Whiteley Village Designer Outlet Centre
Whiteley",Leasehold
HP613307,"Site 1B
Southern Cross Distribution Park
Mauretania Road
Nursling
Southampton",Leasehold
HP625256,"134
Weyhill Road
Andover
SP10 3BG",Freehold
HP634069,"land on the east side of Quay Street
Fareham",Freehold